,folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
93,json_blocks,block_6509204.json,2080032.0,855885.0,3555420.2,1301529.3,2.43027,0.5866148999999999
94,json_blocks,block_6510200.json,1787506.0,1670729.0,1410358.8,494036.9,1.069896,1.3194152000000001
95,json_blocks,block_6510204.json,1960336.0,1838676.0,1870969.3,597254.4,1.066167,1.1041644
96,json_blocks,block_6515009.json,2241951.0,884197.0,4029182.4,1617595.4,2.535579,0.5714675
97,json_blocks,block_6522215.json,1993908.0,812396.0,3065232.5,1189782.0999999999,2.454355,0.6944400000000001
98,json_blocks,block_6522217.json,1833626.0,751388.0,3355909.3,1459752.0,2.440318,0.5522294
99,ssz_blocks,block_5913131.ssz,970595.0,574926.0,770958.4,338023.0,1.6882090000000003,1.2776939
100,ssz_blocks,block_5913132.ssz,926235.0,455985.0,896623.8,368690.2,2.031284,1.0671127
101,ssz_blocks,block_5913133.ssz,897942.0,444047.0,863599.2,344306.10000000003,2.022178,1.0634998
102,ssz_blocks,block_5918962.ssz,950958.0,463723.0,983262.3,435390.7,2.050703,0.9803704
103,ssz_blocks,block_5928007.ssz,1006988.0,543509.0,815083.7,401700.0,1.852753,1.2528941
104,ssz_blocks,block_5930859.ssz,887989.0,480165.0,836689.8,368623.60000000003,1.849341,1.1003093
105,ssz_blocks,block_5934014.ssz,958077.0,474519.0,1152958.5,514098.8,2.019049,0.8424485999999999
106,ssz_blocks,block_5934015.ssz,944126.0,469201.0,1417221.4000000001,554628.1,2.012199,0.6850788
107,ssz_blocks,block_5948235.ssz,1085001.0,1055641.0,302889.7,205988.2,1.027812,4.4183531
108,ssz_blocks,block_5961603.ssz,1054799.0,1015413.0,347902.89999999997,131184.5,1.038788,3.2582705
109,ssz_blocks,block_5961666.ssz,1083236.0,1027504.0,277020.5,71538.2,1.05424,4.4056916
110,ssz_blocks,block_5961700.ssz,1060595.0,1020623.0,344701.60000000003,153149.6,1.039164,3.8687257
111,ssz_blocks,block_5961702.ssz,1153200.0,1122615.0,267644.0,200836.5,1.027244,4.9220505
112,ssz_blocks,block_6008402.ssz,882811.0,836763.0,268950.8,139446.0,1.055031,4.0747802
113,ssz_blocks,block_6008481.ssz,986594.0,936917.0,267042.7,185123.19999999998,1.053022,4.5017138999999995
114,ssz_blocks,block_6008482.ssz,1103232.0,1061218.0,241779.9,90568.59999999999,1.03959,5.2580823
115,ssz_blocks,block_6008483.ssz,1078319.0,1048340.0,337845.0,89919.59999999999,1.028597,4.0432329000000005
116,ssz_blocks,block_6049802.ssz,890671.0,840746.0,227813.7,130941.2,1.059382,4.8471687
117,ssz_blocks,block_6049945.ssz,889920.0,850834.0,256183.5,128855.3,1.045938,4.5532517
118,ssz_blocks,block_6050731.ssz,873775.0,835571.0,197969.0,131110.5,1.045722,5.5290778
119,ssz_blocks,block_6062949.ssz,888170.0,848340.0,277961.5,160671.5,1.046951,4.4154518000000005
120,ssz_blocks,block_6062980.ssz,988921.0,944455.0,280131.39999999997,138118.6,1.047081,4.2793491999999995
121,ssz_blocks,block_6062982.ssz,1167132.0,1132930.0,240739.8,142520.4,1.030189,5.5277329
122,ssz_blocks,block_6062983.ssz,881635.0,843059.0,240778.1,162192.4,1.045757,4.6311163
123,ssz_blocks,block_6063000.ssz,889635.0,846694.0,271301.89999999997,197049.3,1.050716,4.0132033
124,ssz_blocks,block_6063001.ssz,1015078.0,953503.0,306969.2,190849.2,1.064578,3.9895055
125,ssz_blocks,block_6063002.ssz,1158170.0,1127722.0,281315.60000000003,176548.0,1.027,5.1045815999999995
126,ssz_blocks,block_6063003.ssz,1308215.0,1279817.0,307515.39999999997,131294.69999999998,1.022189,5.2371443
127,ssz_blocks,block_6069924.ssz,989318.0,844201.0,583946.7999999999,355145.2,1.171899,1.7946309999999999
128,ssz_blocks,block_6077697.ssz,1008219.0,545053.0,1703835.8,699866.7999999999,1.849763,0.6309484
129,ssz_blocks,block_6081069.ssz,1029725.0,593346.0,1704895.8,676085.2999999999,1.7354549999999997,0.6231819000000001
130,ssz_blocks,block_6081071.ssz,1039986.0,554448.0,1793802.6,629226.1,1.875714,0.6045116
131,ssz_blocks,block_6115510.ssz,1021779.0,973199.0,334026.8,199783.4,1.049918,3.9219353999999997
132,ssz_blocks,block_6120669.ssz,1805904.0,1001751.0,2782725.3000000003,1102957.5,1.802747,0.6624686999999999
133,ssz_blocks,block_6141554.ssz,1005067.0,958826.0,198178.4,149431.80000000002,1.048227,5.8960862
134,ssz_blocks,block_6141601.ssz,1038982.0,994365.0,302918.5,132917.69999999998,1.04487,4.043181000000001
135,ssz_blocks,block_6141603.ssz,961567.0,893622.0,300230.7,174179.80000000002,1.076033,4.4119568
136,ssz_blocks,block_6144319.ssz,928420.0,857942.0,290460.39999999997,189058.6,1.082148,3.7242561
137,ssz_blocks,block_6150453.ssz,1123241.0,645497.0,1202483.9000000001,537476.2000000001,1.7401179999999998,0.9760916000000001
138,ssz_blocks,block_6209716.ssz,887336.0,454154.0,1547744.9,637090.9,1.9538219999999997,0.5790331000000001
139,ssz_blocks,block_6217399.ssz,933941.0,745382.0,732971.7000000001,285783.89999999997,1.25297,1.3377941
140,ssz_blocks,block_6255566.ssz,1017611.0,901791.0,469363.3,247199.7,1.128433,2.4986610000000002
141,ssz_blocks,block_6257428.ssz,954021.0,582334.0,1167526.5999999999,511871.0,1.6382709999999998,0.8621055000000001
142,ssz_blocks,block_6259245.ssz,1067178.0,1029950.0,267343.39999999997,142414.69999999998,1.036145,4.6545672
143,ssz_blocks,block_6264566.ssz,971429.0,932147.0,324416.0,223577.8,1.042141,3.6286847000000004
144,ssz_blocks,block_6265114.ssz,995648.0,948617.0,285490.2,186262.4,1.049578,4.388459800000001
145,ssz_blocks,block_6280043.ssz,1133924.0,923789.0,653074.4,376342.5,1.227471,1.8004624
146,ssz_blocks,block_6280045.ssz,997031.0,784199.0,724633.2000000001,359137.60000000003,1.2714,1.4202096
147,ssz_blocks,block_6294005.ssz,1157127.0,1125485.0,246929.5,200750.1,1.028114,4.7706102
148,ssz_blocks,block_6294013.ssz,983933.0,944825.0,294531.3,190173.5,1.041392,3.9629755
149,ssz_blocks,block_6343943.ssz,1662595.0,840874.0,2491170.6,1129251.3,1.977223,0.6768967
150,ssz_blocks,block_6356658.ssz,915947.0,870829.0,365260.8,225737.2,1.05181,3.0703395
151,ssz_blocks,block_6379216.ssz,1081837.0,1032564.0,500277.6,172269.1,1.047719,2.7944985
152,ssz_blocks,block_6408892.ssz,1161310.0,583483.0,1307496.7,656541.2000000001,1.9903060000000001,0.947646
153,ssz_blocks,block_6408918.ssz,1136433.0,566457.0,1497387.7,724947.7999999999,2.006212,0.781387
154,ssz_blocks,block_6417848.ssz,1027154.0,634612.0,1296430.0999999999,436025.9,1.6185539999999998,0.8151583000000001
155,ssz_blocks,block_6424381.ssz,1059622.0,1022616.0,342875.3,196050.5,1.036188,3.8815451
156,ssz_blocks,block_6424383.ssz,1166480.0,1130246.0,285512.39999999997,168464.0,1.032059,5.2611418
157,ssz_blocks,block_6430112.ssz,1110085.0,560304.0,1668529.9,644226.9,1.981219,0.6835618
158,ssz_blocks,block_6434946.ssz,1119074.0,659088.0,1418984.5,633249.7000000001,1.697913,0.8280675
159,ssz_blocks,block_6437567.ssz,914613.0,467820.0,1761456.3,697061.6,1.9550529999999997,0.5485924999999999
160,ssz_blocks,block_6442585.ssz,887837.0,450834.0,1612663.6,693233.6,1.969321,0.569917
161,ssz_blocks,block_6447679.ssz,919907.0,526717.0,1367991.5,538130.2999999999,1.746492,0.7373561
162,ssz_blocks,block_6448699.ssz,1251749.0,646916.0,1847759.2,870540.0,1.934948,0.7010886
163,ssz_blocks,block_6450782.ssz,910505.0,524657.0,1062603.0,480138.3,1.735429,0.9363580000000001
164,ssz_blocks,block_6450786.ssz,1700133.0,862353.0,2716632.8000000003,1131073.5,1.9715050000000003,0.6455082
165,ssz_blocks,block_6450858.ssz,1026940.0,540278.0,1591761.5,548187.1,1.900762,0.7360230000000001
166,ssz_blocks,block_6450994.ssz,895359.0,465863.0,1300644.0999999999,590824.4,1.921936,0.7249272999999999
167,ssz_blocks,block_6451037.ssz,987233.0,484580.0,1780791.1,807745.1,2.037296,0.5762224
168,ssz_blocks,block_6451529.ssz,1026799.0,518813.0,1561503.4,691910.1,1.9791309999999998,0.6969836
169,ssz_blocks,block_6451943.ssz,930925.0,480961.0,1503427.0999999999,641093.1,1.935552,0.6976284
170,ssz_blocks,block_6452127.ssz,1154734.0,610921.0,1449078.7,727951.9,1.890153,0.8886767
171,ssz_blocks,block_6455872.ssz,906417.0,475665.0,1754373.7,820979.8,1.9055789999999997,0.5235143999999999
172,ssz_blocks,block_6455982.ssz,1246613.0,654253.0,1843120.6,781060.3,1.905399,0.7190571
173,ssz_blocks,block_6456763.ssz,955895.0,500956.0,1247596.0,556812.2000000001,1.908142,0.7812152
